"Alue","SDP","PS","KOK","KESK","VIHR","VAS","RKP","KD","PIR","FP","LIBE","SKP","EOP","SKE","AP","KaL","KL","KRIP","LIIKE","SML","VKK","VL","Muut","Vaalipiiri"
"Ylöjärvi",23.2,27.8,20.4,8.3,4.7,4.8,0.2,5.1,0.1,0,0.3,0.1,0.2,0,0,0.1,0,0.2,3.2,0.1,0.2,1.1,0,"Pirkanmaa"
"Enonkoski",24.3,14.1,9.2,31.8,1.5,2.4,0.3,4.9,0,0,0,0,0,0,0,0,0,0.1,9.3,0,0.9,1.2,0,"Kaakkois-Suomi"
"Hamina",23.7,30.5,21.3,9,4.4,2.4,0.2,2.7,0,0,0.2,0.1,0,0,0,0,0.1,0.1,4.3,0,0.4,0.7,0,"Kaakkois-Suomi"
"Heinävesi",21.5,21.4,12.4,27.8,3,2.8,0.1,8.2,0,0,0.2,0.1,0.1,0,0,0,0,0.2,1.5,0,0.3,0.5,0,"Kaakkois-Suomi"
"Hirvensalmi",14.4,21.6,22.8,29.8,2.4,0.8,0,1.4,0,0,0.1,0.2,0,0,0,0,2.2,0.6,2.3,0,0.6,0.7,0,"Kaakkois-Suomi"
"Iitti",26.6,24,14.5,23.4,2.5,2.6,0.2,2.3,0,0,0.2,0.1,0.1,0.4,0,0,0,0.2,1.7,0,0.5,0.6,0,"Kaakkois-Suomi"
"Imatra",37.7,25.9,17.6,5.6,4.5,2.5,0.1,2.6,0,0,0.2,0.1,0,0,0,0,0.2,0.2,1.9,0,0.4,0.7,0,"Kaakkois-Suomi"
"Joroinen",26.8,22.1,14.4,20.4,1.6,2.6,0.1,9.5,0.3,0,0,0,0.1,0,0,0,0,0.2,1.3,0,0.2,0.4,0,"Kaakkois-Suomi"
"Juva",13.6,17.5,18.6,37.1,2.9,1,0.2,5.8,0,0,0.2,0.1,0,0,0,0,0.1,0.2,2,0,0.5,0.4,0,"Kaakkois-Suomi"
"Kangasniemi",30.2,17.5,13.9,27.4,2.5,1.3,0.1,3.9,0,0,0.1,0.1,0,0,0,0,0.1,0.2,1.5,0,0.6,0.8,0,"Kaakkois-Suomi"
"Kotka",28.4,25,22.7,2.9,4.7,8.4,0.7,3.3,0,0,0.3,0.3,0,0,0,0,0.1,0.1,1.8,0,0.5,1,0,"Kaakkois-Suomi"
"Kouvola",23,24.6,25.2,10.7,4.6,4.3,0.1,3.4,0,0,0.3,0.1,0,0,0,0,0.1,0.2,1.9,0,0.5,1.1,0,"Kaakkois-Suomi"
"Lappeenranta",24,20.7,24.5,11.7,8.2,3.9,0.1,3.1,0,0,0.4,0.1,0,0,0,0,0.1,0.2,1.9,0,0.5,0.7,0,"Kaakkois-Suomi"
"Lemi",15.4,27.9,18.4,25.8,4.7,1.5,0,2.6,0,0,0.2,0.1,0,0,0,0,0.1,0.2,2.2,0,0.4,0.5,0,"Kaakkois-Suomi"
"Luumäki",17,24.1,22.7,24.4,2.8,1.4,0.1,4.2,0,0,0.3,0.1,0,0,0,0,0.1,0.4,1.7,0,0.2,0.4,0,"Kaakkois-Suomi"
"Miehikkälä",7.3,39.4,14.1,29.5,1.9,0.9,0.1,3.8,0,0,0.6,0,0,0,0,0,0,0.3,1.1,0,0.8,0.2,0,"Kaakkois-Suomi"
"Mikkeli",18.9,21.7,27.4,16.5,5.9,1.7,0.1,3.3,0,0,0.2,0.1,0,0,0,0,0.1,0.2,2.7,0,0.7,0.5,0,"Kaakkois-Suomi"
"Mäntyharju",16.2,25.8,29,18.1,2.7,1.8,0.1,3.2,0,0,0.1,0.3,0,0,0,0,0.2,0.1,1.6,0,0.4,0.6,0,"Kaakkois-Suomi"
"Parikkala",16.9,22.6,12.6,33.4,2.4,1.8,0,5.4,0,0,0,0,0,0,0,0,0,0.4,3.1,0,0.5,0.9,0,"Kaakkois-Suomi"
"Pertunmaa",11.5,22.9,24.3,30.3,2.7,2.1,0.1,3.9,0,0,0,0.1,0,0,0,0,0,0.2,0.6,0,0.2,0.9,0,"Kaakkois-Suomi"
"Pieksämäki",21,21.5,16.7,18.4,7.1,5.9,0.1,5.2,0,0,0.1,0.1,0,0,0,0,0.2,0.5,2.4,0,0.3,0.6,0,"Kaakkois-Suomi"
"Puumala",15.8,21.4,17.8,31.5,3.4,1.5,0.1,5.1,0,0,0.1,0.2,0,0,0,0,0.1,0.3,1.7,0,0.4,0.3,0,"Kaakkois-Suomi"
"Pyhtää",21.7,23.9,26.2,12.3,3.5,3.8,2.4,2.6,0,0,0.1,0.1,0,0,0,0,0.1,0.2,1.5,0,0.5,1.2,0,"Kaakkois-Suomi"
"Rantasalmi",19.7,17.2,13.2,35.5,2.5,2.9,0.1,2.9,0,0,0.1,0.1,0,0,0,0,0,0.1,5,0,0.2,0.6,0,"Kaakkois-Suomi"
"Rautjärvi",38.1,22.1,9.4,20.6,1.7,2.2,0,3.4,0,0,0,0.1,0,0,0,0,0,0.2,1.2,0,0.6,0.6,0,"Kaakkois-Suomi"
"Ruokolahti",25.6,25.8,16.3,19.8,2.6,2.4,0.1,3.6,0,0,0.1,0,0,0,0,0,0.1,0.2,2.5,0,0.2,0.7,0,"Kaakkois-Suomi"
"Savitaipale",15.8,21.5,21.4,27.9,4.6,1.1,0.1,4.6,0,0,0.2,0,0,0,0,0,0.2,0.2,1.6,0,0.2,0.8,0,"Kaakkois-Suomi"
"Savonlinna",25.1,14.4,10.5,17.3,3.4,3.5,0.1,5.2,0,0,0.1,0.1,0,0,0,0,0.1,0.2,18.8,0,0.9,0.4,0,"Kaakkois-Suomi"
"Sulkava",18,13.1,31.7,26.3,1.5,1.8,0.2,3.1,0,0,0.2,0.1,0,0,0,0,0,0,3.3,0,0.4,0.4,0,"Kaakkois-Suomi"
"Taipalsaari",19.8,22.8,23.4,16.2,7.2,1.3,0.2,4.7,0,0,0.1,0.1,0,0,0,0,0.1,0.3,2.6,0,0.4,0.7,0,"Kaakkois-Suomi"
"Virolahti",13.6,38.9,14.7,23,3.3,2.2,0.3,1.6,0,0,0.2,0.1,0,0,0,0,0,0.1,1.1,0,0.3,0.6,0,"Kaakkois-Suomi"
"Iisalmi",14.3,23.4,15.9,17.1,2.8,5.9,0,17.5,0.1,0,0.2,0,0.1,0,0,0,0,0.2,1.5,0,0.2,0.6,0,"Savo-Karjala"
"Ilomantsi",30.2,17.8,4.1,36.1,1.6,3.3,0,4.7,0,0,0.1,0.2,0.1,0,0,0,0,0.1,0.8,0,0,0.9,0,"Savo-Karjala"
"Joensuu",24.1,17.5,15.1,16.3,9,6.5,0.1,7,0.3,0,0.2,0.2,0.2,0,0,0,0,0.2,2.4,0,0.3,0.7,0,"Savo-Karjala"
"Juuka",20.2,23.5,6.8,31.3,2.1,1.6,0,12.2,0,0,0.1,0.2,0.2,0,0,0,0,0.1,0.6,0,0.3,0.6,0,"Savo-Karjala"
"Kaavi",14.8,29.8,7.9,26.3,1.7,5.6,0,11.7,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0.4,0.9,0,"Savo-Karjala"
"Keitele",14.9,23.1,9.1,28.2,3.1,4.3,0.1,15.2,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.9,0,0.2,0.7,0,"Savo-Karjala"
"Kitee",19.7,21.8,10.9,28.3,2.8,1.7,0,10.2,0.1,0,0.1,0,0.3,0,0,0,0,0.2,3,0,0.2,0.7,0.1,"Savo-Karjala"
